,,,,Projected,Projected,Previous,Previous,2017,,2016,,2015,,2014,
Taken,Rank,Name,Position,Average,VBDAverage,Average,VBDAverage,Points,VBD,Points,VBD,Points,VBD,Points,VBD
,205,Rex Burkhead,RB,62.76,-73.34,41,-87.2,90.9,-56.1,59,-73,14,-109,14,-107
,206,Jack Doyle,TE,73.83,-16.68,57.9,-30.6,90.7,-2.7,86,-3,13,-74,24,-66
,207,Panthers D/ST,D/ST,36.2,-1.96,0,0,90.5,-4.9,,,,,,
,208,Dolphins D/ST,D/ST,36.08,-2.08,0,0,90.2,-5.2,,,,,,
,209,49ers D/ST,D/ST,35.96,-2.2,0,0,89.9,-5.5,,,,,,
,210,Giants D/ST,D/ST,35.96,-2.2,0,0,89.9,-5.5,,,,,,
,211,Marquise Goodwin,WR,60.83,-73.67,37.7,-97.3,89.7,-44.8,61,-71,2,-139,5,-130
,212,Patriots D/ST,D/ST,35.88,-2.28,0,0,89.7,-5.7,,,,,,
,213,Cole Beasley,WR,96.46,-38.04,98.6,-36.4,89.4,-45.1,114,-18,80,-61,62,-73
,214,Shane Vereen,RB,67.1,-69,57.6,-70.6,89,-58,27,-105,100,-23,114,-7
,215,Tom Savage,QB,42.68,-171.08,10.8,-150,88.7,-177.7,18,-250,,,null,
,216,Josh Doctson,WR,38.2,-68.4,4.2,-75,88.5,-46,7,-125,,,,
,217,Redskins D/ST,D/ST,35.32,-2.84,0,0,88.3,-7.1,,,,,,
,218,J.J. Nelson,WR,35.28,-18.52,0,0,88.2,-46.3,,,,,,
,219,Charles Sims,RB,74.33,-61.77,69.3,-58.9,88.2,-58.8,44,-88,129,6,42,-79
,220,Colts D/ST,D/ST,35.2,-2.96,0,0,88,-7.4,,,,,,
,221,Cowboys D/ST,D/ST,35.16,-3,0,0,87.9,-7.5,,,,,,
,222,Eagles D/ST,D/ST,34.96,-3.2,0,0,87.4,-8,,,,,,
,223,Breshad Perriman,WR,62.04,-44.56,40.8,-38.4,87.1,-47.4,68,-64,,,,
,224,Jared Cook,TE,62.69,-27.82,47.7,-40.8,86.6,-6.8,42,-47,48,-39,81,-9
,225,Packers D/ST,D/ST,34.52,-3.64,0,0,86.3,-9.1,,,,,,
,226,Saints D/ST,D/ST,34.44,-3.72,0,0,86.1,-9.3,,,,,,
,227,C.J. Prosise,RB,51.6,-60,26.4,-52.8,85,-62,44,-88,,,,
,228,Cameron Brate,TE,86.67,-3.84,82.7,-5.8,84.8,-8.6,114,25,47,-40,2,-88
,229,Buccaneers D/ST,D/ST,33.88,-4.28,0,0,84.7,-10.7,,,,,,
,230,Terrance Williams,WR,86.56,-47.94,90.2,-44.8,83.4,-51.1,81,-51,102,-39,110,-25
,231,Raiders D/ST,D/ST,33.32,-4.84,0,0,83.3,-12.1,,,,,,
,232,Lions D/ST,D/ST,33.28,-4.88,0,0,83.2,-12.2,,,,,,
,233,Browns D/ST,D/ST,33.24,-4.92,0,0,83.1,-12.3,,,,,,
,234,Bears D/ST,D/ST,33.24,-4.92,0,0,83.1,-12.3,,,,,,
,235,Mitchell Trubisky,QB,33.16,-73.4,0,0,82.9,-183.5,,,,,,
,236,Robert Turbin,RB,73.08,-63.02,63.6,-64.6,82.7,-64.3,82,-50,28,-95,60,-61
,237,C.J. Fiedorowicz,TE,68.6,-21.91,55.2,-33.3,82.5,-10.9,80,-9,21,-66,9,-81
,238,Bills D/ST,D/ST,32.44,-5.72,0,0,81.1,-14.3,,,,,,
,239,Evan Engram,TE,32.24,-5.12,0,0,80.6,-12.8,,,,,,
,240,Curtis Samuel,WR,31.92,-21.88,0,0,79.8,-54.7,,,,,,
,241,Antonio Gates,TE,90.81,0.3,100.3,11.8,77.9,-15.5,95,6,93,6,154,64
,242,Charles Clay,TE,77.12,-13.39,76.6,-11.9,77.3,-16.1,79,-10,71,-16,79,-11
,243,Julius Thomas,TE,69.39,-21.12,66.7,-21.8,77.1,-16.3,52,-37,78,-9,121,31
,244,Wendell Smallwood,RB,46.84,-64.76,24.6,-54.6,76.1,-70.9,41,-91,,,,
,245,Christian Hackenberg,QB,30.28,-76.28,0,0,75.7,-190.7,,,,,,
,246,Alvin Kamara,RB,29.52,-29.28,0,0,73.8,-73.2,,,,,,
,247,Latavius Murray,RB,126.77,-9.33,161.1,32.9,71.8,-75.2,175,43,164,41,69,-52
,248,Austin Seferian-Jenkins,TE,47.14,-43.37,33.2,-55.3,71.1,-22.3,21,-68,58,-29,32,-58
,249,Braxton Miller,WR,34.84,-71.76,9.6,-69.6,71.1,-63.4,16,-116,,,,
,250,Robert Woods,WR,71.17,-63.33,72.1,-62.9,70.8,-63.7,68,-64,71,-70,100,-35
,251,Allen Hurns,WR,84.21,-50.29,98.9,-36.1,70.4,-64.1,66,-66,163,22,104,-31
,252,Markus Wheaton,WR,53.37,-81.13,48.3,-86.7,69.8,-64.7,13,-119,109,-32,78,-57
,253,O.J. Howard,TE,27.48,-9.88,0,0,68.7,-24.7,,,,,,
,254,Jonathan Williams,RB,31.8,-79.8,6.6,-72.6,68.5,-78.5,11,-121,,,,
,255,Carlos Henderson,WR,27.2,-26.6,0,0,68,-66.5,,,,,,
,256,Jamaal Williams,RB,27.16,-31.64,0,0,67.9,-79.1,,,,,,
,257,Jesse James,TE,51.42,-34.59,37.8,-41.7,67.3,-26.1,56,-33,14,-73,,
,258,Charone Peake,WR,34.36,-72.24,11.4,-67.8,66.9,-67.6,19,-113,,,,
,259,Andre Holmes,WR,50.41,-84.09,41.1,-93.9,66.9,-67.6,31,-101,44,-97,93,-42
,260,Albert Wilson,WR,57.26,-77.24,51.2,-83.8,66.4,-68.1,51,-81,60,-81,26,-109
,261,Jacquizz Rodgers,RB,61,-75.1,53.6,-74.6,66,-81,78,-54,5,-118,53,-68
