Taken,Rank,Name,Position,ProjectPointsAverage,ProjectedVBDAverage,PointsAverage,VBDAverage,BestPointsYear,BestVBDYear,Points_2016,VBD_2016,Team_2016,Points_2015,VBD_2015,Team_2015,Points_2014,VBD_2014,Team_2014,Points_2013,VBD_2013,Team_2013 
,20,Jordan Reed,TE,127.678,43.423,114.900,42.000,2015 WAS,2015 WAS,144.89,44.270,Was,157,70,WAS,45,,WAS,72,,WAS
,42,DeAngelo Williams,RB,131.217,26.720,135.600,41.900,2015 PIT,2015 PIT,115.15,0.000,Pit,191,68,PIT,24,,CAR,138,11,CAR
,43,Doug Baldwin,WR,148.604,25.927,155.900,40.200,2015 SEA,2015 SEA,134.38,1.230,Sea,191,67,SEA,101,,SEA,110,,SEA
,13,Todd Gurley,RB,156.818,54.040,113.400,39.600,2015 STL,2015 STL,223.68,76.210,LA,189,66,STL,,,,,,
,14,A.J. Green,WR,180.448,53.071,174.500,50.600,2013 CIN,2013 CIN,185.60,52.450,Cin,188,63,CIN,136,13,CIN,209,89,CIN
,18,Greg Olsen,TE,140.386,47.250,142.900,54.400,2015 CAR,2015 CAR,136.91,36.290,Car,150,63,CAR,137,47,CAR,118,25,CAR
,29,Delanie Walker,TE,127.318,34.183,133.200,44.700,2015 TEN,2015 TEN,117.89,17.270,Ten,150,63,TEN,113,23,TEN,93,,TEN
,11,Lamar Miller,RB,186.617,56.958,176.300,57.000,2015 MIA,2014 MIA,207.57,60.100,Hou,185,62,MIA,185,66,MIA,98,,MIA
,21,Russell Wilson,QB,326.163,43.360,333.200,56.300,2015 SEA,2014 SEA,317.27,25.000,Sea,344,59,SEA,332,66,SEA,272,11,SEA
,47,Tom Brady,QB,285.858,24.660,315.600,39.600,2015 NWE,2015 NWE,237.31,0.000,NE,344,59,NWE,280,14,NWE,252,,NWE
,56,Tyler Eifert,TE,89.784,19.760,90.900,31.200,2015 CIN,2015 CIN,82.59,0.000,Cin,140,52,CIN,4,,CIN,57,,CIN
,16,David Johnson,RB,153.452,50.673,104.400,30.600,2015 ARI,2015 ARI,229.82,82.350,Ari,174,51,ARI,,,,,,
,52,Chris Ivory,RB,141.347,21.020,154.200,33.900,2015 NYJ,2015 NYJ,121.07,0.000,Jax,173,49,NYJ,134,15,NYJ,102,,NYJ
,10,Matt Forte,RB,190.212,57.773,203.800,80.800,2013 CHI,2013 CHI,168.61,21.140,NYJ,173,49,CHI,245,125,CHI,265,139,CHI
,34,Calvin Johnson,WR,108.380,31.820,172.700,49.100,2013 DET,2013 DET,,,,173,49,DET,156,32,DET,221,101,DET
,31,Eric Decker,WR,160.244,32.867,160.900,37.000,2013 DEN,2013 DEN,155.01,21.860,NYJ,173,48,NYJ,126,3,NYJ,193,73,DEN
,44,Larry Fitzgerald,WR,147.963,25.866,145.800,31.800,2015 ARI,2015 ARI,146.64,13.490,Ari,172,47,ARI,90,,ARI,156,36,ARI
,37,Brandin Cooks,WR,140.828,28.971,127.800,27.000,2015 NOR,2015 NOR,164.39,31.240,NO,170,45,NOR,86,,NOR,,,
,57,Latavius Murray,RB,133.328,19.509,119.100,24.600,2015 OAK,2015 OAK,157.81,10.340,Oak,164,41,OAK,69,,OAK,,,
,23,Demaryius Thomas,WR,166.574,41.040,190.300,67.000,2014 DEN,2013 DEN,129.30,0.000,Den,164,40,DEN,230,107,DEN,229,109,DEN
,62,Danny Woodhead,RB,125.451,16.880,114.600,26.100,2015 SDG,2015 SDG,133.24,0.000,SD,163,40,SDG,7,,SDG,147,21,SDG
,65,Blake Bortles,QB,262.870,15.667,246.600,23.400,2015 JAX,2015 JAX,294.50,2.230,Jax,324,39,JAX,174,,JAX,,,
,66,Allen Hurns,WR,126.266,14.820,129.000,23.400,2015 JAX,2015 JAX,125.49,0.000,Jax,163,39,JAX,104,,JAX,,,
,49,Frank Gore,RB,151.566,22.080,157.300,34.900,2013 SFO,2013 SFO,140.70,0.000,Ind,159,36,IND,148,28,SFO,175,49,SFO
,46,Jarvis Landry,WR,138.720,25.483,124.500,21.000,2015 MIA,2015 MIA,165.21,32.060,Mia,159,35,MIA,97,,MIA,,,
,40,Sammy Watkins,WR,145.848,28.071,135.300,23.400,2015 BUF,2015 BUF,168.81,35.660,Buf,159,34,BUF,133,10,BUF,,,
,48,Jeremy Hill,RB,141.323,23.320,149.400,39.900,2014 CIN,2014 CIN,137.43,0.000,Cin,157,34,CIN,184,65,CIN,,,
,72,Darren McFadden,RB,93.298,12.160,127.200,19.200,2015 DAL,2015 DAL,36.68,0.000,Dal,156,32,DAL,85,,OAK,81,,OAK
,38,Jeremy Maclin,WR,146.335,28.938,151.200,39.900,2014 PHI,2014 PHI,148.25,15.100,KC,156,32,KAN,192,69,PHI,,,
,54,Travis Kelce,TE,106.091,20.015,103.800,24.000,2015 KAN,2015 KAN,114.87,14.250,KC,118,30,KAN,110,20,KAN,,,KAN
